,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.385,31,26,9,10,0,0,3,8,0,0,5,0,7,0,0.385,2018,0
1,4월,,0.378,99,82,18,31,5,0,8,24,2,0,14,1,27,0,0.38,2018,2
2,5월,,0.346,96,81,19,28,4,0,8,13,0,1,13,2,20,2,0.365,2018,0
3,6월,,0.211,101,95,8,20,2,0,6,12,2,2,5,1,22,2,0.313,2018,0
4,7월,,0.387,91,75,14,29,3,0,9,23,4,2,13,0,17,2,0.329,2018,3
5,8월,,0.286,56,49,10,14,1,0,3,10,1,0,5,1,8,0,0.324,2018,1
6,9월,,0.286,105,91,18,26,3,0,3,7,0,0,9,5,17,1,0.317,2018,0
7,10월,,0.31,37,29,6,9,1,0,3,10,1,0,8,0,5,0,0.316,2018,0
