,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.391,28,23,6,9,1,0,4,8,1,0,5,0,4,2,0.391,2019,0
1,4월,,0.347,84,72,12,25,8,0,3,17,1,0,6,4,12,3,0.358,2019,2
2,5월,,0.408,89,71,10,29,3,0,3,10,0,2,15,3,3,1,0.38,2019,0
3,6월,,0.31,96,87,7,27,3,0,3,10,0,0,6,2,11,3,0.356,2019,1
4,7월,,0.357,19,14,2,5,1,0,0,2,0,1,3,2,3,0,0.356,2019,0
5,8월,,0.4,68,60,14,24,5,0,4,11,0,0,5,1,5,0,0.364,2019,2
6,9월,,0.293,70,58,10,17,5,0,3,9,2,0,8,3,5,4,0.353,2019,1
7,10월,,0.4,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0.354,2019,0
