,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,5월,,0.319,98,91,19,29,4,1,4,23,0,0,4,2,18,4,0.319,2020,1
1,6월,,0.269,76,67,10,18,2,0,1,6,0,2,8,0,7,1,0.297,2020,1
2,7월,,0.203,65,59,6,12,2,0,2,14,0,0,4,2,15,1,0.272,2020,0
3,8월,,0.329,96,85,10,28,5,0,2,22,0,1,7,2,18,2,0.288,2020,2
4,9월,,0.241,32,29,3,7,0,0,2,8,0,0,2,1,4,1,0.284,2020,0
5,10월,,0.329,97,85,11,28,4,1,4,15,0,0,7,2,7,3,0.293,2020,3
