,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.226,36,31,4,7,3,0,0,1,0,0,5,0,1,0,0.226,2019,0
1,4월,,0.302,101,96,12,29,4,2,1,14,3,0,5,0,10,4,0.283,2019,0
2,5월,,0.345,125,116,20,40,8,2,3,11,3,2,9,0,10,2,0.313,2019,0
3,6월,,0.367,101,90,16,33,2,1,1,8,5,1,7,2,7,1,0.327,2019,0
4,7월,,0.286,80,70,6,20,2,3,0,12,1,2,6,1,5,2,0.32,2019,2
5,8월,,0.339,120,109,20,37,8,2,1,18,1,2,8,1,5,2,0.324,2019,1
6,9월,,0.433,65,60,11,26,3,0,0,4,0,0,5,0,2,4,0.336,2019,0
7,10월,,0.5,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0.336,2019,0
