,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.313,34,32,4,10,0,0,1,5,1,0,2,0,4,3,0.313,2019,0
1,4월,,0.297,107,91,18,27,5,1,3,18,1,1,10,3,11,6,0.301,2019,3
2,5월,,0.36,103,86,16,31,9,2,1,9,4,0,13,1,11,4,0.325,2019,3
3,6월,,0.267,89,75,12,20,4,0,1,7,1,0,13,1,12,4,0.31,2019,0
4,7월,,0.322,73,59,13,19,5,2,1,7,0,1,9,2,8,2,0.312,2019,2
5,8월,,0.338,88,77,17,26,2,0,3,13,5,1,8,0,8,3,0.317,2019,3
6,9월,,0.333,38,33,3,11,2,0,0,4,0,0,5,0,3,1,0.318,2019,0
7,10월,,0.4,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0.319,2019,0
