,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.5,29,24,5,12,4,0,1,4,0,0,3,2,1,1,0.5,2018,0
1,4월,,0.371,81,70,15,26,6,0,3,13,3,0,8,3,9,0,0.404,2018,0
2,5월,,0.381,90,84,17,32,5,0,5,16,0,0,4,1,9,1,0.393,2018,1
3,6월,,0.346,95,81,17,28,5,1,8,19,0,0,12,1,3,5,0.378,2018,1
4,7월,,0.385,72,65,10,25,4,0,3,12,1,0,5,1,5,4,0.38,2018,1
5,8월,,0.243,44,37,6,9,2,0,0,2,2,0,4,1,3,0,0.366,2018,2
6,9월,,0.281,69,57,13,16,3,0,2,8,0,0,7,4,6,2,0.354,2018,1
7,10월,,0.429,23,21,1,9,0,0,1,3,0,0,2,0,4,0,0.358,2018,0
