,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,5월,,0.214,96,84,15,18,6,0,1,9,0,0,8,3,11,2,0.214,2020,1
1,6월,,0.444,91,81,22,36,9,0,2,16,2,0,6,2,11,0,0.327,2020,2
2,7월,,0.253,96,83,18,21,6,0,3,10,2,0,11,1,14,1,0.302,2020,1
3,8월,,0.298,104,94,20,28,6,0,6,12,2,2,5,4,9,1,0.301,2020,1
4,9월,,0.27,97,89,15,24,10,0,0,14,0,0,5,1,10,2,0.295,2020,0
5,10월,,0.375,67,56,13,21,3,0,2,9,2,0,7,1,10,3,0.304,2020,2
