,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,4월,,0.31,107,87,13,27,5,0,1,14,1,1,17,2,7,3,0.31,2021,0
1,5월,,0.333,94,81,12,27,6,0,1,12,1,0,9,1,13,1,0.321,2021,3
2,6월,,0.337,115,98,20,33,8,0,2,19,1,0,13,2,11,1,0.327,2021,2
3,7월,,0.333,30,27,6,9,4,0,0,6,1,0,3,0,1,2,0.328,2021,0
