,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.407,34,27,7,11,3,0,0,2,0,0,4,1,3,0,0.407,2018,0
1,4월,,0.286,115,98,14,28,3,0,1,7,1,2,11,3,15,0,0.312,2018,2
2,5월,,0.347,56,49,7,17,4,0,1,7,1,0,4,2,6,1,0.322,2018,1
3,6월,,0.357,75,70,12,25,7,0,2,11,2,0,4,1,9,1,0.332,2018,0
4,7월,,0.419,49,43,5,18,2,0,0,6,1,0,4,0,4,0,0.345,2018,2
5,8월,,0.532,67,62,18,33,8,1,1,10,5,0,3,0,5,3,0.378,2018,1
6,9월,,0.268,109,97,15,26,3,0,1,11,1,2,10,1,15,0,0.354,2018,1
7,10월,,0.385,15,13,3,5,4,1,0,3,0,0,2,0,1,0,0.355,2018,0
