,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,5월,,0.333,65,57,13,19,6,1,5,14,0,0,7,0,10,0,0.333,2020,1
1,6월,,0.319,80,69,15,22,1,0,5,13,2,0,10,0,15,1,0.325,2020,1
2,7월,,0.253,95,83,14,21,5,0,2,12,0,1,10,1,19,4,0.29,2020,1
3,8월,,0.352,103,91,14,32,8,0,4,14,1,1,11,1,15,0,0.313,2020,0
4,9월,,0.323,114,99,17,32,5,0,2,15,3,0,13,2,15,0,0.316,2020,0
5,10월,,0.386,117,101,22,39,11,0,5,21,1,0,15,1,19,2,0.33,2020,0
