,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.2,29,25,5,5,0,0,2,7,0,0,1,2,11,0,0.2,2018,1
1,4월,,0.286,96,77,15,22,5,0,6,15,1,0,18,0,17,2,0.265,2018,1
2,5월,,0.297,100,91,16,27,11,1,4,19,0,0,6,1,26,1,0.28,2018,2
3,6월,,0.43,117,107,26,46,6,0,14,36,0,0,8,1,20,1,0.333,2018,1
4,7월,,0.402,95,82,15,33,7,0,6,17,1,0,11,1,18,0,0.348,2018,1
5,8월,,0.267,50,45,4,12,3,0,1,5,0,0,4,1,14,0,0.34,2018,0
6,9월,,0.383,94,81,22,31,4,0,11,34,0,0,10,2,21,1,0.346,2018,1
7,10월,,0.0,21,19,1,0,0,0,0,0,0,0,1,1,7,1,0.334,2018,0
