,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.286,33,28,5,8,1,0,3,10,0,0,5,0,9,2,0.286,2019,0
1,4월,,0.308,108,91,18,28,4,1,4,20,1,0,14,0,21,2,0.303,2019,3
2,5월,,0.271,110,96,13,26,1,2,2,16,0,1,10,1,24,2,0.288,2019,3
3,6월,,0.333,103,87,11,29,2,0,2,16,0,0,12,1,17,0,0.301,2019,3
4,7월,,0.188,76,69,9,13,2,1,2,13,0,0,6,1,16,0,0.28,2019,0
5,8월,,0.313,78,67,13,21,7,1,1,12,1,0,7,2,15,1,0.285,2019,2
6,9월,,0.264,62,53,7,14,3,0,1,4,1,0,9,0,9,0,0.283,2019,0
7,10월,,0.25,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.283,2019,0
