,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.37,30,27,7,10,2,0,4,10,0,1,3,0,7,0,0.37,2018,0
1,4월,,0.229,92,83,11,19,7,0,1,10,0,1,8,0,19,2,0.264,2018,1
2,5월,,0.324,80,71,23,23,7,0,3,11,0,0,8,0,13,0,0.287,2018,1
3,6월,,0.329,93,85,13,28,4,0,5,11,1,1,5,2,18,0,0.301,2018,1
4,7월,,0.241,91,83,19,20,3,1,5,13,0,0,8,0,26,0,0.287,2018,0
5,8월,,0.302,51,43,9,13,2,0,2,6,0,0,8,0,11,1,0.288,2018,0
6,9월,,0.283,109,99,18,28,4,1,6,14,2,1,9,1,22,0,0.287,2018,0
7,10월,,0.333,39,36,8,12,3,0,3,9,0,1,3,0,8,1,0.29,2018,0
