,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.281,34,32,4,9,2,0,2,8,0,0,1,0,4,0,0.281,2019,1
1,4월,,0.279,101,86,18,24,5,1,4,8,0,0,12,1,15,1,0.28,2019,1
2,5월,,0.333,121,108,18,36,6,0,3,16,2,1,11,2,15,2,0.305,2019,0
3,6월,,0.322,104,90,17,29,3,0,4,18,3,1,9,2,5,3,0.31,2019,2
4,7월,,0.319,72,69,11,22,2,0,5,14,2,0,3,0,10,5,0.312,2019,0
5,8월,,0.289,100,90,12,26,6,0,3,8,0,0,6,2,10,4,0.307,2019,2
6,9월,,0.269,71,67,4,18,6,0,1,11,1,0,4,0,12,4,0.303,2019,0
7,10월,,0.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0.301,2019,0
