,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,4월,,0.257,92,74,12,19,1,0,5,12,2,2,13,2,23,0,0.257,2021,3
1,5월,,0.357,91,70,21,25,6,0,7,22,3,0,16,4,17,0,0.306,2021,1
2,6월,,0.301,103,83,17,25,4,0,8,21,2,0,13,6,11,3,0.304,2021,1
3,7월,,0.214,19,14,4,3,1,0,0,1,0,0,3,2,3,0,0.299,2021,0
