,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,3월,,0.182,25,22,2,4,1,0,1,4,0,0,2,0,2,0,0.182,2018,1
1,4월,,0.356,92,87,17,31,6,0,2,14,1,0,4,1,15,3,0.321,2018,0
2,5월,,0.358,114,106,18,38,11,1,6,28,1,0,6,0,14,5,0.34,2018,2
3,6월,,0.312,87,77,7,24,3,0,4,17,0,1,7,2,17,1,0.332,2018,0
4,7월,,0.36,97,86,15,31,6,1,5,21,0,0,6,4,18,1,0.339,2018,1
5,8월,,0.349,47,43,6,15,2,0,3,12,0,0,4,0,11,1,0.34,2018,0
6,9월,,0.278,103,97,10,27,7,0,2,20,1,0,4,2,20,1,0.328,2018,0
7,10월,,0.455,13,11,3,5,0,0,2,3,0,0,2,0,0,0,0.331,2018,0
