,index,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,YEAR,SF
0,4월,,0.26,90,77,13,20,3,0,5,16,0,0,11,1,17,1,0.26,2021,1
1,5월,,0.256,96,78,14,20,2,0,4,11,0,0,17,0,17,3,0.258,2021,1
2,6월,,0.2,108,90,17,18,2,0,8,16,1,0,17,0,19,3,0.237,2021,1
3,7월,,0.265,42,34,3,9,0,0,1,3,0,0,7,1,7,0,0.24,2021,0
