,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
5월,,0.391,101,92,20,36,12,1,1,16,0,0,9,0,7,2,0.391
6월,,0.29,114,107,15,31,5,0,4,16,0,1,5,0,10,3,0.337
7월,,0.352,106,91,20,32,5,0,9,29,0,1,14,0,10,3,0.341
8월,,0.362,106,94,15,34,5,0,6,21,0,0,10,2,8,0,0.346
9월,,0.383,94,81,18,31,5,0,2,27,0,0,11,0,13,0,0.353
10월,,0.207,98,82,10,17,3,1,0,10,0,0,14,0,5,1,0.331
