,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,,0.207,29,29,4,6,3,0,1,2,1,0,0,0,6,2,0.207
4월,,0.23,101,87,9,20,4,0,4,8,0,0,13,1,22,1,0.224
5월,,0.333,115,99,17,33,4,1,7,24,3,1,11,2,16,3,0.274
6월,,0.263,113,95,22,25,6,0,4,20,0,1,16,2,16,3,0.271
7월,,0.277,77,65,14,18,3,0,6,19,1,1,10,0,18,2,0.272
8월,,0.239,82,71,8,17,7,0,1,14,0,0,10,0,24,0,0.267
9월,,0.345,72,58,12,20,1,0,6,8,1,0,13,1,15,0,0.276
