,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,,0.3,31,30,5,9,1,1,0,2,1,0,1,0,3,0,0.3
4월,,0.319,102,94,18,30,6,0,2,16,3,1,6,1,13,2,0.315
5월,,0.265,90,83,6,22,3,1,0,6,0,0,5,2,13,2,0.295
6월,,0.316,109,98,17,31,2,2,3,19,1,1,5,4,18,4,0.302
7월,,0.347,82,75,10,26,8,2,3,13,0,0,6,1,7,3,0.311
8월,,0.714,7,7,3,5,1,0,0,3,0,0,0,0,1,0,0.318
9월,,0.347,78,72,16,25,2,0,3,16,2,0,4,2,5,1,0.322
10월,,0.379,30,29,4,11,1,0,1,9,0,1,1,0,5,2,0.326
