,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
4월,,0.284,93,74,18,21,2,1,7,26,0,0,18,1,19,0,0.284
5월,,0.296,95,81,13,24,2,0,4,16,0,0,13,0,18,1,0.29
6월,,0.205,91,73,12,15,1,0,4,11,0,0,15,2,25,2,0.263
7월,,0.5,10,8,1,4,1,0,1,5,0,0,2,0,0,0,0.271
