,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
5월,,0.359,107,92,14,33,8,1,4,19,2,0,12,1,6,1,0.359
6월,,0.381,109,97,20,37,12,2,3,16,1,0,8,1,9,5,0.37
7월,,0.319,105,94,16,30,6,1,5,22,3,1,9,0,8,2,0.353
8월,,0.33,107,97,14,32,10,0,2,17,2,0,7,2,6,4,0.347
9월,,0.352,123,105,13,37,9,1,1,24,4,0,16,0,13,2,0.348
10월,,0.203,66,59,8,12,4,0,0,3,0,1,7,0,5,2,0.333
