,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
5월,,0.205,95,73,14,15,5,0,2,11,2,2,17,5,15,1,0.205
6월,,0.301,98,83,16,25,4,0,6,12,1,0,12,3,13,2,0.256
7월,,0.361,89,72,16,26,6,0,9,22,2,0,12,3,13,0,0.289
8월,,0.25,98,76,17,19,3,0,6,23,2,1,16,3,18,1,0.28
9월,,0.177,85,79,9,14,3,0,2,9,0,0,5,0,22,3,0.258
10월,,0.333,88,69,18,23,1,0,8,19,1,0,13,6,17,0,0.27
