,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,,0.241,32,29,5,7,2,0,1,3,0,0,3,0,8,0,0.241
4월,,0.387,110,93,22,36,8,1,5,15,1,0,17,0,13,3,0.352
5월,,0.412,114,102,22,42,13,1,3,29,0,0,7,0,11,1,0.379
6월,,0.301,102,93,19,28,8,0,5,25,0,1,4,1,13,1,0.356
7월,,0.38,93,79,16,30,4,0,4,17,0,1,13,0,11,2,0.361
8월,,0.382,58,55,11,21,4,0,2,12,0,1,3,0,5,2,0.364
9월,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.362
