,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
4월,,0.338,92,77,14,26,6,1,4,23,1,0,10,4,13,1,0.338
5월,,0.352,89,71,19,25,4,0,7,21,0,0,17,1,4,1,0.345
6월,,0.365,101,85,18,31,6,0,8,24,1,1,14,1,11,2,0.352
7월,,0.294,20,17,1,5,1,0,1,3,0,0,1,0,2,1,0.348
