,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
4월,,0.289,48,45,3,13,1,0,1,1,0,0,3,0,7,0,0.289
5월,,0.299,94,87,18,26,8,0,5,24,2,1,5,2,21,3,0.295
6월,,0.35,98,80,18,28,2,0,6,25,1,0,11,4,14,1,0.316
7월,,0.308,17,13,3,4,2,0,0,1,0,0,3,0,0,0,0.316
