,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,,0.313,33,32,3,10,3,0,0,0,0,0,1,0,7,0,0.313
4월,,0.307,82,75,5,23,4,0,1,15,0,1,4,1,13,2,0.308
5월,,0.301,99,93,9,28,4,0,1,7,0,0,4,1,14,0,0.305
6월,,0.307,110,101,11,31,1,1,2,8,1,0,7,2,10,3,0.306
7월,,0.364,35,33,4,12,0,0,2,12,0,0,1,0,3,1,0.311
8월,,0.365,86,74,21,27,3,0,3,19,0,0,5,5,10,3,0.321
9월,,0.274,69,62,6,17,3,0,3,11,1,1,2,3,10,0,0.315
