,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
4월,,0.38,94,79,15,30,5,0,2,16,1,0,11,2,10,3,0.38
5월,,0.279,75,68,11,19,4,0,0,9,2,0,6,1,10,4,0.333
6월,,0.333,54,48,7,16,4,0,0,7,3,0,5,0,7,3,0.333
7월,,0.381,23,21,2,8,2,0,0,4,0,0,2,0,5,1,0.338
