,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
5월,,0.302,103,96,17,29,10,0,4,10,1,1,7,0,18,2,0.302
6월,,0.28,101,93,16,26,3,0,5,13,1,0,6,2,13,4,0.291
7월,,0.276,100,87,14,24,4,0,4,17,1,1,10,2,10,4,0.286
8월,,0.293,101,92,16,27,6,1,3,18,1,1,5,2,9,3,0.288
9월,,0.277,116,101,17,28,5,0,4,21,1,2,12,2,16,3,0.286
10월,,0.247,107,93,15,23,6,0,6,17,0,0,12,0,13,5,0.279
