,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,,0.167,25,24,4,4,2,1,0,1,1,0,1,0,7,0,0.167
4월,,0.309,62,55,7,17,4,0,0,3,1,1,6,0,7,2,0.266
5월,,0.394,105,99,21,39,5,0,3,15,2,1,4,2,19,3,0.337
6월,,0.337,113,104,19,35,6,0,9,18,2,2,6,2,12,1,0.337
7월,,0.37,95,81,18,30,6,0,6,15,0,2,11,2,11,0,0.344
8월,,0.333,52,48,14,16,5,1,4,10,0,1,4,0,5,1,0.343
9월,,0.347,108,98,25,34,7,0,7,18,1,0,10,0,16,2,0.344
10월,,0.319,54,47,10,15,1,0,4,10,0,0,6,1,5,3,0.342
