,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
5월,,0.253,97,83,11,21,5,0,2,7,0,0,14,0,20,0,0.253
6월,,0.282,103,85,14,24,8,0,6,22,0,0,16,1,19,2,0.268
7월,,0.217,96,83,14,18,2,0,5,7,2,0,13,0,29,1,0.251
8월,,0.315,96,73,15,23,4,0,5,20,1,0,19,2,10,1,0.265
9월,,0.3,102,90,19,27,6,0,7,18,0,1,10,2,21,0,0.273
10월,,0.338,92,71,12,24,7,0,7,17,1,1,19,1,17,1,0.282
